"","Rk","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","fix"
"1",1,"Jeff Adrien\adrieje01","PF",25,"HOU",8,0,63,7,16,0.438,0,0,NA,7,16,0.438,0.438,7,12,0.583,5,17,22,1,0,2,2,13,21,"jeffadrien"
"2",2,"Arron Afflalo\afflaar01","SG",26,"DEN",62,62,2086,329,699,0.471,88,221,0.398,241,478,0.504,0.534,197,247,0.798,40,157,197,149,36,13,85,134,943,"arronafflalo"
"3",3,"Blake Ahearn\ahearbl01","PG",27,"UTA",4,0,30,4,14,0.286,2,9,0.222,2,5,0.4,0.357,0,0,NA,0,2,2,1,0,0,5,4,10,"blakeahearn"
"4",4,"Solomon Alabi\alabiso01","C",23,"TOR",14,0,122,13,36,0.361,0,0,NA,13,36,0.361,0.361,7,8,0.875,15,32,47,3,2,9,5,11,33,"solomonalabi"
"5",5,"Cole Aldrich\aldrico01","C",23,"OKC",26,0,173,22,42,0.524,0,0,NA,22,42,0.524,0.524,13,14,0.929,13,35,48,3,8,16,9,22,57,"colealdrich"
"6",6,"LaMarcus Aldridge\aldrila01","PF",26,"POR",55,55,1994,483,943,0.512,2,11,0.182,481,932,0.516,0.513,223,274,0.814,150,292,442,134,51,45,111,153,1191,"lamarcusaldridge"
"7",7,"Lavoy Allen\allenla01","PF",22,"PHI",41,15,624,79,167,0.473,0,0,NA,79,167,0.473,0.473,11,14,0.786,47,124,171,34,13,18,20,73,169,"lavoyallen"
"8",8,"Ray Allen\allenra02","SG",36,"BOS",46,42,1565,226,493,0.458,106,234,0.453,120,259,0.463,0.566,97,106,0.915,14,128,142,109,49,8,68,83,655,"rayallen"
"9",9,"Tony Allen\allento01","SG",30,"MEM",58,57,1525,210,448,0.469,8,26,0.308,202,422,0.479,0.478,140,175,0.8,98,135,233,79,104,33,94,142,568,"tonyallen"
"10",10,"Morris Almond\almonmo01","SG",26,"WAS",4,0,67,6,17,0.353,1,3,0.333,5,14,0.357,0.382,1,3,0.333,1,7,8,2,7,0,1,6,14,"morrisalmond"
"11",11,"Al-Farouq Aminu\aminual01","SF",21,"NOH",66,21,1477,150,365,0.411,13,47,0.277,137,318,0.431,0.429,86,114,0.754,95,213,308,66,59,34,91,136,399,"alfarouqaminu"
"12",12,"Lou Amundson\amundlo01","PF",29,"IND",60,0,753,89,207,0.43,0,0,NA,89,207,0.43,0.43,35,82,0.427,94,128,222,14,27,44,45,125,213,"louamundson"
"13",13,"Chris Andersen\anderch01","C",33,"DEN",32,1,486,59,108,0.546,0,0,NA,59,108,0.546,0.546,50,82,0.61,48,100,148,6,19,46,17,52,168,"chrisandersen"
"14",14,"Alan Anderson\anderal01","SF",29,"TOR",17,12,461,55,142,0.387,24,61,0.393,31,81,0.383,0.472,29,34,0.853,8,26,34,26,5,3,25,35,163,"alananderson"
"15",15,"James Anderson\anderja01","SG",22,"SAS",51,2,603,66,174,0.379,19,68,0.279,47,106,0.443,0.434,39,52,0.75,16,63,79,41,8,2,30,35,190,"jamesanderson"
"16",16,"Ryan Anderson\anderry01","PF",23,"ORL",61,61,1964,332,757,0.439,166,422,0.393,166,335,0.496,0.548,150,171,0.877,224,247,471,54,50,26,57,146,980,"ryananderson"
