"","Rk","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","X","ORtg","DRtg","fix"
"1",1,"Quincy Acy\acyqu01","PF",25,"SAC",59,29,876,6.5,11.7,0.556,1,2.7,0.388,5.5,9,0.606,2.7,3.7,0.735,3.6,6.7,10.3,1.5,1.6,1.3,1.5,5.6,16.8,NA,124,108,"quincyacy"
"2",2,"Jordan Adams\adamsjo01","SG",21,"MEM",2,0,15,6.9,20.6,0.333,0,3.4,0,6.9,17.2,0.4,10.3,17.2,0.6,0,6.9,6.9,10.3,10.3,0,6.9,6.9,24,NA,84,90,"jordanadams"
"3",3,"Steven Adams\adamsst01","C",22,"OKC",80,80,2014,6.4,10.5,0.613,0,0,NA,6.4,10.5,0.613,2.8,4.8,0.582,5.4,7.7,13.1,1.5,1,2.2,2.1,5.5,15.7,NA,123,105,"stevenadams"
"4",4,"Arron Afflalo\afflaar01","SG",30,"NYK",71,57,2371,7.7,17.3,0.443,2,5.2,0.382,5.7,12.2,0.469,2.4,2.8,0.84,0.5,5.3,5.8,3.1,0.5,0.2,1.8,3.1,19.7,NA,105,112,"arronafflalo"
"5",5,"Alexis Ajinca\ajincal01","C",27,"NOP",59,17,861,8.6,18.1,0.476,0,0.1,0,8.6,18.1,0.478,3,3.6,0.839,4.3,11.2,15.5,1.8,1.1,2.1,3.1,7.7,20.3,NA,100,107,"alexisajinca"
"6",6,"Cole Aldrich\aldrico01","C",27,"LAC",60,5,800,8.4,14.1,0.596,0,0,NA,8.4,14.1,0.596,3.8,5.3,0.714,5.4,12.7,18,3.1,2.9,4.3,4,8.7,20.5,NA,113,94,"colealdrich"
"7",7,"LaMarcus Aldridge\aldrila01","PF",30,"SAS",74,74,2261,12.1,23.7,0.513,0,0.4,0,12.1,23.3,0.521,5.9,6.8,0.858,4,10.3,14.3,2.5,0.9,1.8,2.2,3.4,30.1,NA,114,99,"lamarcusaldridge"
"8",8,"Cliff Alexander\alexacl01","PF",20,"POR",8,0,36,6.9,13.9,0.5,0,0,NA,6.9,13.9,0.5,0,0,NA,2.8,5.6,8.3,0,1.4,2.8,1.4,1.4,13.9,NA,100,107,"cliffalexander"
"9",9,"Lavoy Allen\allenla01","PF",26,"IND",79,28,1599,5.9,11.5,0.516,0,0,NA,5.9,11.5,0.516,1.4,2.3,0.63,5,8.1,13.2,2.4,0.8,1.3,2.1,4.6,13.3,NA,110,104,"lavoyallen"
"10",10,"Tony Allen\allento01","SG",34,"MEM",64,57,1620,6.8,14.9,0.458,0.5,1.3,0.357,6.4,13.6,0.468,2.9,4.4,0.652,3.3,6.1,9.4,2.2,3.5,0.6,2.5,5.6,17,NA,101,105,"tonyallen"
"11",11,"Al-Farouq Aminu\aminual01","SF",25,"POR",82,82,2341,6.4,15.4,0.416,2.7,7.5,0.361,3.7,7.9,0.468,2.5,3.3,0.737,2.1,8.6,10.7,2.9,1.5,1.1,2.6,3.7,17.9,NA,105,107,"alfarouqaminu"
"12",12,"Lou Amundson\amundlo01","PF",33,"NYK",29,0,204,4.8,13.4,0.358,0,0,NA,4.8,13.4,0.358,3.5,6.8,0.519,5.8,6.6,12.3,3,1.5,1.8,3.8,11.1,13.1,NA,87,106,"louamundson"
"13",14,"Alan Anderson\anderal01","SG",33,"WAS",13,0,192,5.3,15,0.356,3,9.4,0.324,2.3,5.6,0.409,2.8,3.8,0.733,0.3,6.6,6.9,3.6,1,0.3,0.5,6.3,16.5,NA,107,108,"alananderson"
"14",15,"James Anderson\anderja01","SG",26,"SAC",51,15,721,4.5,11.9,0.376,1.5,5.7,0.267,2.9,6.1,0.478,1.5,1.9,0.759,0.9,4.9,5.7,2.7,1.4,0.9,2.8,3.6,11.9,NA,87,111,"jamesanderson"
"15",16,"Justin Anderson\anderju01","SF",22,"DAL",55,9,647,5.6,13.8,0.406,1.7,6.5,0.265,3.9,7.2,0.533,3.5,4.3,0.8,1.4,9,10.4,2.3,1.5,2,1.9,3.5,16.4,NA,103,104,"justinanderson"
"16",17,"Kyle Anderson\anderky01","SF",22,"SAS",78,11,1245,5.7,12.1,0.468,0.5,1.5,0.324,5.2,10.6,0.488,2.5,3.4,0.747,1,9,10,5.1,2.5,1.2,2.4,4,14.4,NA,104,97,"kyleanderson"
"17",18,"Ryan Anderson\anderry01","PF",27,"NOP",66,7,2008,9.8,22.9,0.427,3.2,8.8,0.366,6.6,14.1,0.466,4.9,5.6,0.873,3.2,6.5,9.8,1.8,0.9,0.6,2.2,2.7,27.8,NA,108,112,"ryananderson"
"18",19,"Giannis Antetokounmpo\antetgi01","PG",21,"MIL",80,79,2823,9.3,18.3,0.506,0.5,2,0.257,8.8,16.3,0.537,5.3,7.4,0.724,2,9,11,6.2,1.7,2,3.8,4.7,24.4,NA,109,106,"giannisantetokounmpo"
"19",20,"Thanasis Antetokounmpo\antetth01","SF",23,"NYK",2,0,6,25.7,34.3,0.75,0,8.6,0,25.7,25.7,1,0,0,NA,0,8.6,8.6,0,0,0,0,17.1,51.4,NA,140,110,"thanasisantetokounmpo"
"20",21,"Carmelo Anthony\anthoca01","SF",31,"NYK",72,72,2530,11.5,26.6,0.434,2.1,6.3,0.339,9.4,20.3,0.463,6.8,8.2,0.829,2,9.3,11.3,6.1,1.3,0.8,3.6,3.7,32,NA,107,107,"carmeloanthony"
"21",22,"Joel Anthony\anthojo01","C",33,"DET",19,0,96,3.2,5.3,0.6,0,0,NA,3.2,5.3,0.6,3.2,4.2,0.75,4.2,6.8,11,0.5,1.1,6.3,1.1,7.9,9.5,NA,136,99,"joelanthony"
"22",23,"Keith Appling\applike01","PG",23,"ORL",5,0,27,3.7,14.8,0.25,0,5.6,0,3.7,9.3,0.4,3.7,3.7,1,0,1.9,1.9,1.9,1.9,0,5.6,9.3,11.1,NA,57,110,"keithappling"
"23",24,"Trevor Ariza\arizatr01","SF",30,"HOU",81,81,2859,6.1,14.8,0.416,3.2,8.6,0.371,3,6.2,0.478,2.2,2.8,0.783,1.2,5.1,6.3,3.2,2.8,0.4,1.9,3,17.6,NA,110,108,"trevorariza"
"24",25,"Darrell Arthur\arthuda01","PF",27,"DEN",70,16,1516,7.3,16.2,0.452,1.5,3.9,0.385,5.8,12.3,0.473,1.3,1.8,0.755,2.8,6.8,9.7,3.2,1.8,1.6,2.2,6.1,17.4,NA,104,108,"darrellarthur"
"25",26,"Omer Asik\asikom01","C",29,"NOP",68,64,1178,4.4,8.2,0.533,0,0,NA,4.4,8.2,0.533,2.6,4.7,0.545,5.1,12.4,17.4,1.1,0.9,1,2.5,5.2,11.3,NA,106,108,"omerasik"
"26",28,"Jeff Ayres\pendeje02","C",28,"LAC",17,0,107,5.6,10.8,0.522,0,0.5,0,5.6,10.3,0.545,2.8,2.8,1,1.9,8.4,10.3,2.3,0,1.4,2.8,8.4,14,NA,105,106,"jeffayres"
"27",29,"Luke Babbitt\babbilu01","SF",26,"NOP",47,13,845,7.2,17,0.422,2.6,6.4,0.404,4.6,10.6,0.433,2.3,2.9,0.78,1.5,7.2,8.7,3.1,0.6,0.4,1.3,5.3,19.2,NA,107,112,"lukebabbitt"
"28",30,"Cameron Bairstow\bairsca01","C",25,"CHI",18,2,103,6.3,19.5,0.325,0.5,2.4,0.2,5.8,17,0.343,3.4,3.9,0.875,1.9,11.7,13.6,2.9,1,1.5,1.9,9.2,16.6,NA,86,104,"cameronbairstow"
"29",31,"Leandro Barbosa\barbole01","SG",33,"GSW",68,0,1079,7.7,16.6,0.462,1.7,4.9,0.355,5.9,11.6,0.508,2.3,2.8,0.839,1.3,4,5.2,3.7,2,0.4,2.4,4.8,19.4,NA,106,106,"leandrobarbosa"
"30",32,"J.J. Barea\bareajo01","PG",31,"DAL",74,16,1667,9.7,21.7,0.446,3.1,7.9,0.385,6.6,13.8,0.481,2.3,2.9,0.771,0.8,3.8,4.6,9.2,0.8,0.1,3.5,3.4,24.7,NA,106,111,"jjbarea"
