Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1,Alex Abrines\abrinal01,SG,23,OKC,68,6,1055,6.2,15.9,.393,4.4,11.5,.381,1.9,4.4,.426,2.0,2.3,.898,0.8,3.2,4.0,1.9,1.7,0.4,1.5,5.3,18.9,,113,110
2,Quincy Acy\acyqu01,PF,26,TOT,38,1,558,6.0,14.6,.412,3.2,7.7,.411,2.8,6.8,.413,3.9,5.1,.750,1.7,8.1,9.8,1.5,1.2,1.3,1.8,5.7,19.0,,109,110
2,Quincy Acy\acyqu01,PF,26,DAL,6,0,48,5.4,18.4,.294,1.1,7.6,.143,4.3,10.8,.400,2.2,3.3,.667,2.2,6.5,8.7,0.0,0.0,0.0,2.2,9.8,14.1,,71,113
2,Quincy Acy\acyqu01,PF,26,BRK,32,1,510,6.0,14.2,.425,3.3,7.7,.434,2.7,6.5,.414,4.0,5.3,.754,1.7,8.3,9.9,1.7,1.3,1.4,1.8,5.4,19.4,,113,110
3,Steven Adams\adamsst01,C,23,OKC,80,80,2389,7.7,13.5,.571,0.0,0.0,.000,7.7,13.4,.572,3.2,5.3,.611,5.8,6.8,12.6,1.8,1.8,1.6,3.0,4.0,18.6,,114,107
4,Arron Afflalo\afflaar01,SG,31,SAC,61,45,1580,5.9,13.5,.440,2.0,4.8,.411,3.9,8.6,.457,2.7,3.0,.892,0.3,3.7,4.0,2.5,0.7,0.2,1.3,3.3,16.5,,109,116
5,Alexis Ajinca\ajincal01,C,28,NOP,39,15,584,7.5,14.9,.500,0.0,0.3,.000,7.5,14.6,.511,2.4,3.4,.725,3.9,11.0,14.8,1.0,1.7,1.8,2.6,6.5,17.4,,101,104
6,Cole Aldrich\aldrico01,C,28,MIN,62,0,531,4.3,8.2,.523,0.0,0.0,,4.3,8.2,.523,1.4,2.1,.682,4.9,10.2,15.1,2.4,2.4,2.2,1.6,8.1,10.0,,118,107
7,LaMarcus Aldridge\aldrila01,PF,31,SAS,72,72,2335,10.9,22.9,.477,0.5,1.2,.411,10.4,21.7,.480,4.8,5.9,.812,3.8,7.7,11.4,3.0,1.0,1.9,2.1,3.4,27.1,,111,104
8,Lavoy Allen\allenla01,PF,27,IND,61,5,871,4.4,9.7,.458,0.0,0.1,.000,4.4,9.6,.461,1.3,1.9,.697,6.0,6.6,12.6,3.3,1.0,1.4,1.7,4.5,10.2,,114,110
9,Tony Allen\allento01,SG,35,MEM,71,66,1914,7.4,16.2,.461,0.4,1.5,.278,7.0,14.7,.479,2.2,3.5,.615,4.5,6.1,10.6,2.7,3.1,0.8,2.7,4.8,17.5,,101,105
10,Al-Farouq Aminu\aminual01,SF,26,POR,61,25,1773,5.1,13.1,.393,2.0,5.9,.330,3.2,7.1,.445,2.7,3.8,.706,2.2,10.5,12.6,2.8,1.7,1.2,2.6,2.9,14.9,,100,108
11,Chris Andersen\anderch01,C,38,CLE,12,0,114,3.9,9.6,.409,0.0,1.3,.000,3.9,8.3,.474,4.4,6.1,.714,3.9,9.6,13.6,2.2,2.2,3.1,2.2,8.8,12.3,,107,104
12,Alan Anderson\anderal01,SF,34,LAC,30,0,308,4.9,13.0,.375,2.3,7.1,.318,2.6,5.8,.444,1.9,2.6,.750,0.5,3.4,3.9,1.8,0.5,0.0,1.1,5.7,14.0,,100,114
13,Justin Anderson\anderju01,SF,23,TOT,75,10,1228,7.7,18.1,.424,2.4,8.0,.299,5.3,10.1,.522,4.2,5.3,.791,2.8,7.3,10.1,2.7,1.7,0.9,2.7,4.5,21.9,,104,108
13,Justin Anderson\anderju01,SF,23,DAL,51,2,710,8.1,20.3,.401,2.7,8.9,.303,5.4,11.4,.477,5.1,6.5,.795,2.9,8.1,10.9,2.3,2.1,1.2,2.9,4.7,24.1,,101,107
13,Justin Anderson\anderju01,SF,23,PHI,24,8,518,7.1,15.2,.463,2.0,6.8,.292,5.1,8.5,.600,3.0,3.9,.780,2.8,6.2,9.0,3.2,1.2,0.7,2.4,4.2,19.1,,109,111
14,Kyle Anderson\anderky01,SG,23,SAS,72,14,1020,4.6,10.4,.445,0.7,2.0,.375,3.9,8.4,.462,2.2,2.8,.789,1.6,8.7,10.4,4.5,2.5,1.3,1.9,3.1,12.3,,109,101
15,Ryan Anderson\anderry01,PF,28,HOU,72,72,2116,7.3,17.5,.418,4.6,11.5,.403,2.7,6.1,.446,2.9,3.4,.860,2.5,4.9,7.5,1.5,0.7,0.3,1.2,3.2,22.2,,119,113
16,Giannis Antetokounmpo\antetgi01,SF,22,MIL,80,80,2845,11.7,22.5,.521,0.9,3.2,.272,10.8,19.3,.563,8.4,10.9,.770,2.5,10.0,12.5,7.7,2.3,2.7,4.2,4.4,32.7,,116,104
17,Carmelo Anthony\anthoca01,SF,32,NYK,74,74,2538,11.9,27.4,.433,3.0,8.3,.359,8.9,19.1,.466,6.0,7.2,.833,1.2,7.4,8.6,4.2,1.2,0.7,3.0,3.9,32.7,,108,113
18,Joel Anthony\anthojo01,C,34,SAS,19,0,122,4.2,6.7,.625,0.0,0.0,,4.2,6.7,.625,2.1,3.3,.625,3.3,9.6,12.9,1.3,0.8,2.5,1.7,4.6,10.4,,121,102
19,Trevor Ariza\arizatr01,SF,31,HOU,80,80,2773,5.6,13.8,.409,3.3,9.6,.344,2.3,4.2,.556,1.6,2.2,.738,0.9,7.0,7.9,3.0,2.5,0.3,1.3,2.3,16.2,,113,108
20,Darrell Arthur\arthuda01,PF,28,DEN,41,7,639,7.3,16.4,.442,4.1,8.9,.453,3.2,7.5,.429,1.5,1.7,.864,1.9,6.6,8.6,3.2,1.5,1.6,2.8,5.8,20.0,,110,112
21,Omer Asik\asikom01,C,30,NOP,31,19,482,3.1,6.6,.477,0.0,0.0,,3.1,6.6,.477,2.3,4.0,.590,4.9,11.7,16.6,1.5,0.5,1.0,1.4,5.2,8.6,,114,107
22,D.J. Augustin\augusdj01,PG,29,ORL,78,20,1538,6.3,16.7,.377,3.1,8.8,.347,3.2,7.8,.412,4.2,5.2,.814,0.5,3.3,3.8,6.7,1.0,0.0,2.9,3.3,19.9,,104,115
23,Luke Babbitt\babbilu01,SF,27,MIA,68,55,1065,5.3,13.3,.402,4.1,9.9,.414,1.2,3.4,.366,0.5,0.7,.733,0.6,6.1,6.7,1.7,0.9,0.5,1.2,5.6,15.3,,110,109
24,Ron Baker\bakerro01,SG,23,NYK,52,13,857,4.8,12.7,.378,1.3,5.0,.267,3.4,7.6,.450,1.6,2.5,.651,0.7,5.0,5.7,6.2,2.0,0.5,3.3,4.3,12.5,,92,113
25,Wade Baldwin\baldwwa01,PG,20,MEM,33,1,405,4.6,14.8,.313,0.4,2.8,.136,4.2,11.9,.355,4.0,4.8,.838,1.4,4.5,5.9,7.8,2.3,0.9,5.0,5.1,13.6,,83,107
26,Leandro Barbosa\barbole01,SG,34,PHO,67,0,963,8.6,19.5,.439,1.7,4.9,.357,6.8,14.6,.466,2.0,2.2,.889,0.7,4.4,5.2,4.0,1.5,0.4,2.4,4.1,20.8,,103,114
27,J.J. Barea\bareajo01,PG,32,DAL,35,6,771,9.6,23.2,.414,3.6,10.0,.358,6.0,13.2,.456,3.0,3.4,.863,0.6,5.1,5.7,13.0,0.9,0.1,4.3,2.0,25.7,,106,112
28,Harrison Barnes\barneha02,PF,24,DAL,79,79,2803,11.1,23.8,.468,1.4,4.1,.351,9.7,19.6,.492,4.5,5.2,.861,1.7,5.6,7.3,2.2,1.2,0.3,1.9,2.4,28.2,,106,111
29,Matt Barnes\barnema02,SF,36,TOT,74,18,1777,5.2,13.3,.391,2.4,7.4,.331,2.8,5.9,.467,2.0,2.5,.787,2.0,8.8,10.8,5.5,1.4,0.7,3.0,5.2,14.8,,102,109
29,Matt Barnes\barnema02,SF,36,SAC,54,13,1367,5.4,14.2,.384,2.6,7.8,.327,2.9,6.4,.453,1.9,2.4,.758,2.0,8.8,10.8,5.6,1.3,0.6,3.1,5.1,15.3,,100,111
29,Matt Barnes\barnema02,SF,36,GSW,20,5,410,4.5,10.6,.422,2.1,6.1,.346,2.3,4.5,.526,2.3,2.7,.870,1.8,8.9,10.7,5.3,1.4,1.1,2.8,5.5,13.4,,110,104
30,Will Barton\bartowi01,SG,26,DEN,60,19,1705,8.4,19.1,.443,2.5,6.7,.370,6.0,12.3,.483,4.1,5.4,.753,1.7,5.8,7.4,5.9,1.4,0.8,2.8,3.2,23.5,,112,114
31,Brandon Bass\bassbr01,PF,31,LAC,52,0,577,9.3,16.1,.575,0.1,0.3,.333,9.2,15.8,.579,6.7,7.6,.875,3.7,7.4,11.2,1.8,1.2,1.0,2.5,3.9,25.3,,125,109
32,Nicolas Batum\batumni01,SG,28,CHO,77,77,2617,7.5,18.7,.403,2.6,7.8,.333,4.9,10.9,.453,4.7,5.4,.856,0.9,8.3,9.2,8.7,1.6,0.6,3.7,2.1,22.3,,105,108
33,Jerryd Bayless\bayleje01,PG,28,PHI,3,1,71,7.5,22.0,.344,1.4,3.4,.400,6.2,18.5,.333,6.2,6.9,.900,2.1,6.2,8.2,8.9,0.0,0.0,6.2,2.7,22.6,,90,114
34,Aron Baynes\baynear01,C,30,DET,75,2,1163,6.2,12.1,.513,0.0,0.0,,6.2,12.1,.513,3.4,4.1,.840,4.8,9.6,14.5,1.4,0.7,1.7,2.2,7.2,15.9,,114,106
35,Kent Bazemore\bazemke01,SF,27,ATL,73,64,1963,7.4,18.1,.409,2.3,6.7,.346,5.1,11.4,.446,3.0,4.2,.708,1.1,4.7,5.8,4.4,2.3,1.3,3.1,4.1,20.1,,97,106
36,Bradley Beal\bealbr01,SG,23,WAS,77,77,2684,11.7,24.3,.482,4.1,10.1,.404,7.6,14.1,.538,5.2,6.3,.825,1.0,3.4,4.4,4.9,1.5,0.4,2.9,3.1,32.7,,117,112
37,Malik Beasley\beaslma01,SG,20,DEN,22,1,165,9.8,21.6,.452,2.7,8.3,.321,7.1,13.3,.533,2.4,3.0,.800,1.5,3.6,5.0,3.3,2.1,0.0,2.4,3.0,24.6,,107,114
