last name,first name
Anthony,Carmelo
Hayward,Gordon
Gortat,Marcin
Lowry,Kyle
Parsons,Chandler
James,LeBron
Ariza,Trevor
Bradley,Avery
Frye,Channing
Wade,Dwyane
Diaw,Boris
Thomas,Isaiah
Nowitzki,Dirk
Hawes,Spencer
Gasol,Pau
Young,Nick
Deng,Luol
Meeks,Jodie
Patterson,Patrick
Stephenson,Lance
Miles,C.J.
Livingston,Shaun
Harris,Devin
Williams,Marvin
Humphries,Kris
Vasquez,Greivis
Mills,Patrick
Carter,Vince
Sefolosha,Thabo
Pierce,Paul
Andersen,Chris
Morrow,Anthony
Scott,Mike
Kaman,Chris
Booker,Trevor
Hill,Jordan
Butler,Caron
Chalmers,Mario
Mack,Shelvin
Turner,Evan
Bayless,Jerryd
Blair,DeJaun
Augustin,D.J.
Miller,Mike
Nelson,Jameer
Roberts,Brian
Hinrich,Kirk
Haslem,Udonis
Monroe,Greg
Johnson,James
Sessions,Ramon
Udrih,Beno
Granger,Danny
Farmar,Jordan
Blake,Steve
Bazemore,Kent
Seraphin,Kevin
Jerrett,Grant
Williams,Mo
Kelly,Ryan
Smith,Jason
Gray,Aaron
Martin,Cartier
Rush,Brandon
Temple,Garrett
Aminu,Al-Farouq
Davis,Ed
Baynes,Aron
Brand,Elton
Murry,Toure
Salmons,John
Moore,E'Twaun
Garrett,Diante
Miller,Darius
Daniels,Troy
Mohammed,Nazr
Turkoglu,Hedo
Barbosa,Leandro
Marion,Shawn
Jones,James
Pargo,Jannero
Bonner,Matt
Jefferson,Richard
Lewis,Rashard
Gooden,Drew
Garcia,Francisco
Price,Ronnie
Hollins,Ryan
Brown,Shannon
Stuckey,Rodney
Davis,Glen
Brooks,Aaron
Henry,Xavier
Thabeet,Hasheem
Ellington,Wayne
Casspi,Omri
Udoh,Ekpe
Johnson,Wesley
Adrien,Jeff
Smith,Ishmael
Aldrich,Cole
Douglas-Roberts,Chris
Hamilton,Jordan
Fredette,Jimmer
Allen,LaVoy
James,Bernard
Hummel,Robbie
Siva,Peyton
Thomas,Adonis
LucasIII,John
Bosh,Chris
Smith,Josh
Okafor,Emeka
Villanueva,Charlie
Bogans,Keith
Ridnour,Luke
Delfino,Carlos
Vesely,Jan
Allen,Ray
Battier,Shane
McRoberts,Josh
Maxiell,Jason
Billups,Chauncey
Cunningham,Dante
O'Neal,Jermaine
Collison,Darren
Bledsoe,Eric
Randolph,Anthony
Douglas,Toney
Singleton,Chris
Raduljica,Miroslav
Ayon,Gustavo
DeColo,Nando
Hopson,Scotty
Blatche,Andray
Harrington,Al
Martin,Kenyon
Butler,Rasual
Watson,Earl
Crawford,Jordan
Brooks,MarShon
Oden,Greg
Beasley,Michael
Tolliver,Anthony
Mullens,B.J.
Bynum,Andrew
Harrellson,Josh
Stone,Julyan
Thomas,Malcolm
Tucker,P.J.
Anderson,James
Lamb,Doron
Franklin,Jamaal
Buycks,Dwight
James,Mike
Tyler,Jeremy
Odom,Lamar
Brewer,Ronnie
Varnado,Jarvis
Amundson,Louis
Ely,Melvin
Christmas,Dionte
Collins,Jason
Reed,Willie
Southerland,James
White,D.J.
Clark,Earl
James,Damion
Jeffers,Othyus
Cunningham,Jared
Jackson,Pierre
