,name,last name,first name,position,team,year,average salary
0,marcgasol,Gasol,Marc,C,MEM,2015,22642350
1,kevinlove,Love,Kevin,PF,CLE,2015,22642350
2,kawhileonard,Leonard,Kawhi,SF,SAS,2015,18868625
3,jimmybutler,Butler,Jimmy,SG,CHI,2015,18467976
4,deandrejordan,Jordan,DeAndre,C,LAC,2015,21904013
5,gorandragic,Dragic,Goran,PG,MIA,2015,17000450
6,lamarcusaldridge,Aldridge,LaMarcus,PF,SAS,2015,21018008
7,tristanthompson,Thompson,Tristan,C,CLE,2015,16400000
8,draymondgreen,Green,Draymond,PF,GSW,2015,16400000
9,reggiejackson,Jackson,Reggie,PG,DET,2015,16000000
10,eneskanter,Kanter,Enes,PF,OKC,2015,17515007
11,wesleymatthews,Matthews,Wesley,SG,DAL,2015,17515007
12,brandonknight,Knight,Brandon,PG,PHX,2015,14000000
13,khrismiddleton,Middleton,Khris,SF,MIL,2015,14000000
14,tobiasharris,Harris,Tobias,PF,DET,2015,16000000
15,brooklopez,Lopez,Brook,C,BKN,2015,21165675
16,paulmillsap,Millsap,Paul,PF,ATL,2015,20072033
17,demarrecarroll,Carroll,DeMarre,SF,TOR,2015,14500000
18,omerasik,Asik,Omer,C,NOP,2015,11595505
19,robinlopez,Lopez,Robin,C,CHI,2015,13503875
20,robinlopez,Lopez,Robin,C,NYK,2015,12650000
21,thaddeusyoung,Young,Thaddeus,PF,BKN,2015,13500000
22,tysonchandler,Chandler,Tyson,C,PHX,2015,13000000
23,gregmonroe,Monroe,Greg,C,MIL,2015,17145838
24,montaellis,Ellis,Monta,SG,IND,2015,10995250
25,dannygreen,Green,Danny,SG,SAS,2015,10000000
26,imanshumpert,Shumpert,Iman,SG,CLE,2015,10000000
27,jaecrowder,Crowder,Jae,SF,BOS,2015,7000000
28,kostakoufos,Koufos,Kosta,C,SAC,2015,8219750
29,alfarouqaminu,Aminu,Al-Farouq,SF,POR,2015,7500000
30,coryjoseph,Joseph,Cory,PG,TOR,2015,7472500
31,amirjohnson,Johnson,Amir,PF,BOS,2015,12000000
32,coreybrewer,Brewer,Corey,SG,HOU,2015,7806971
33,patrickbeverley,Beverley,Patrick,PG,HOU,2015,5756757
34,louiswilliams,Williams,Louis,SG,LAL,2015,7000000
35,eddavis,Davis,Ed,PF,POR,2015,6666667
36,aronbaynes,Baynes,Aron,PF,DET,2015,6500000
37,alexisajinca,Ajinca,Alexis,C,NOP,2015,5050000
38,marcobelinelli,Belinelli,Marco,SF,SAC,2015,6333333
39,kylesingler,Singler,Kyle,SF,OKC,2015,4750000
40,brandanwright,Wright,Brandan,PF,MEM,2015,5709880
41,kevingarnett,Garnett,Kevin,PF,MIN,2015,8250000
42,kyleoquinn,O'Quinn,Kyle,C,NYK,2015,4003125
43,josebarea,Barea,Jose,PG,DAL,2015,4000425
44,arronafflalo,Afflalo,Arron,SG,NYK,2015,8000000
45,cjwatson,Watson,C.J.,PG,ORL,2015,5000000
46,mikedunleavy,Dunleavy,Mike,SF,CHI,2015,4837500
47,jameernelson,Nelson,Jameer,PG,DEN,2015,4540525
48,deronwilliams,Williams,Deron,PG,DAL,2015,5500000
49,timduncan,Duncan,Tim,PF,SAS,2015,5425000
50,willbarton,Barton,Will,SG,DEN,2015,3533333
51,paulpierce,Pierce,Paul,SF,LAC,2015,3527920
52,jonasjerebko,Jerebko,Jonas,PF,BOS,2015,5000000
53,rajonrondo,Rondo,Rajon,PG,SAC,2015,9500000
54,derrickwilliams,Williams,Derrick,PF,NYK,2015,4499000
55,dantecunningham,Cunningham,Dante,PF,NOP,2015,2978250
56,lavoyallen,Allen,LaVoy,PF,IND,2015,4025000
57,drewgooden,Gooden,Drew,PF,WAS,2015,3423500
58,kjmcdaniels,McDaniels,K.J.,SG,HOU,2015,3261563
59,austinrivers,Rivers,Austin,SG,LAC,2015,3227451
60,brandonbass,Bass,Brandon,PF,LAL,2015,3067500
61,omricasspi,Casspi,Omri,SF,SAC,2015,2900000
62,darrellarthur,Arthur,Darrell,PF,DEN,2015,2877315
63,manuginobili,Ginobili,Manu,SG,SAS,2015,2877315
64,mirzateletovic,Teletovic,Mirza,PF,PHX,2015,5500000
65,joelanthony,Anthony,Joel,C,DET,2015,2500000
66,jeremylin,Lin,Jeremy,PG,CHA,2015,2187128
67,jasonsmith,Smith,Jason,PF,ORL,2015,4300000
68,joeingles,Ingles,Joe,SF,UTA,2015,2150000
69,mowilliams,Williams,Mo,PG,CLE,2015,2147250
70,jordanhill,Hill,Jordan,C,IND,2015,4000000
71,alananderson,Anderson,Alan,SG,WAS,2015,4000000
72,glenrobinsoniii,RobinsonIII,Glen,SG,IND,2015,1080333
75,wayneellington,Ellington,Wayne,SG,BKN,2015,1533750
76,caronbutler,Butler,Caron,SF,SAC,2015,1525423
77,davidwest,West,David,PF,SAS,2015,1525423
78,norriscole,Cole,Norris,PG,NOP,2015,3036927
79,shanelarkin,Larkin,Shane,PG,BKN,2015,1500000
80,luisscola,Scola,Luis,PF,TOR,2015,2900000
81,kevinseraphin,Seraphin,Kevin,PF,NYK,2015,2814000
82,alonzogee,Gee,Alonzo,SF,NOP,2015,1349700
83,leandrobarbosa,Barbosa,Leandro,SG,GSW,2015,2500000
84,jeremyevans,Evans,Jeremy,SF,DAL,2015,1163944
85,lukebabbitt,Babbitt,Luke,SF,NOP,2015,1163944
86,wesleyjohnson,Johnson,Wesley,SG,LAC,2015,1163944
87,aaronbrooks,Brooks,Aaron,PG,CHI,2015,2250000
88,jamesanderson,Anderson,James,SG,SAC,2015,1077272
89,quincyacy,Acy,Quincy,SF,SAC,2015,1016155
90,thomasrobinson,Robinson,Thomas,PF,BKN,2015,1016155
91,jeffwithey,Withey,Jeff,C,UTA,2015,981486
94,shaynewhittington,Whittington,Shayne,PF,IND,2015,912745
95,lancethomas,Thomas,Lance,SF,NYK,2015,1636842
96,louisamundson,Amundson,Louis,PF,NYK,2015,1635476
97,dahntayjones,Jones,Dahntay,SF,CLE,2015,780239
98,jasonterry,Terry,Jason,SG,HOU,2015,1499187
99,tayshaunprince,Prince,Tayshaun,SF,MIN,2015,1499187
100,charlievillanueva,Villanueva,Charlie,PF,DAL,2015,1499187
101,richardjefferson,Jefferson,Richard,SF,CLE,2015,1499187
102,kendrickperkins,Perkins,Kendrick,C,NOP,2015,1499187
103,jamesjones,Jones,James,SG,CLE,2015,1499187
104,ronnieprice,Price,Ronnie,PG,PHX,2015,1499187
106,joshsmith,Smith,Josh,SF,LAC,2015,456921
107,mattbonner,Bonner,Matt,C,SAS,2015,1499187
108,amarestoudemire,Stoudemire,Amar'e,PF,MIA,2015,1499187
109,geraldgreen,Green,Gerald,SG,MIA,2015,1356146
110,tylerhansbrough,Hansbrough,Tyler,PF,CHA,2015,1185784
111,marcusthornton,Thornton,Marcus,SG,WAS,2015,251107
112,chriscopeland,Copeland,Chris,SF,MIL,2015,805000
113,matthewdellavedova,Dellavedova,Matthew,PG,CLE,2015,1147276
114,ishmaelsmith,Smith,Ishmael,PG,PHI,2015,1100602
115,donaldsloan,Sloan,Donald,PG,BKN,2015,1015421
