last name,first name,age,position,team,faStatus,total-contract,average
Gasol,Marc,32,C,MEM,RFA,57503764,14375941
Chandler,Tyson,35,C,DAL,UFA,55409450,13852363
Young,Thaddeus,29,PF,PHI,RFA,43999998,8800000
Jordan,DeAndre,29,C,LAC,RFA,43039054,10759764
Afflalo,Arron,31,SG,DEN,RFA,36712500,7342500
Chandler,Wilson,30,SF,DEN,RFA,31720817,6344163
Thornton,Marcus,30,SG,SAC,RFA,31150000,7787500
Prince,Tayshaun,37,SF,DET,UFA,28000000,7000000
Davis,Glen,31,PF,BOS,UFA,25700000,6425000
Stuckey,Rodney,31,PG,DET,RFA,25500000,8500000
Richardson,Jason,36,SG,ORL,UFA,24000000,6000000
Butler,Caron,37,SF,DAL,UFA,24000000,8000000
Hayes,Chuck,34,PF,HOU,UFA,22417500,5604375
Richard,Luc,31,SF,MIL,RFA,18765152,4691288
Barea,Jose,33,PG,DAL,UFA,18000000,4500000
Jerebko,Jonas,30,PF,DET,RFA,18000000,4500000
Hamilton,Richard,39,SG,DET,UFA,10000000,5000000
Battier,Shane,39,SF,MEM,UFA,9405000,3135000
Carter,Vince,40,SG,PHX,UFA,9270000,3090000
Brewer,Corey,31,SG,NYK,UFA,9177000,3059000
Green,Jeff,31,SF,BOS,RFA,9000000,9000000
Humphries,Kris,32,PF,NJN,UFA,8000000,8000000
Chalmers,Mario,31,PG,MIA,RFA,8000000,4000000
Dunleavy,Mike,37,SF,IND,UFA,7500000,3750000
Hill,Grant,44,SF,PHX,UFA,6500000,6500000
Cook,Daequan,30,SG,OKC,RFA,6500000,3250000
Jones,James,36,SG,MIA,UFA,4500000,1500000
Cunningham,Dante,30,PF,CHA,RFA,4090000,2045000
Hawes,Spencer,29,PF,PHI,RFA,4051023,4051023
Telfair,Sebastian,32,PG,MIN,UFA,3067500,1533750
Thomas,Kurt,44,PF,CHI,UFA,2704362,1352181
Martin,Kenyon,39,PF,DEN,UFA,2500000,2500000
Clark,Earl,29,SF,ORL,UFA,2400000,1200000
Parker,Anthony,42,SG,CLE,UFA,2250000,2250000
Wright,Brandan,29,PF,NJN,UFA,1908532,954266
Scalabrine,Brian,39,PF,CHI,UFA,1400000,1400000
Howard,Juwan,44,PF,MIA,UFA,1400000,1400000
Davis,Baron,38,PG,CLE,UFA,1352181,1352181
Collins,Jason,29,C,ATL,UFA,1352181,1352181
Stackhouse,Jerry,42,SF,ATL,UFA,1352181,1352181
McGrady,Tracy,38,SG,DET,UFA,1352181,1352181
Haddadi,Hamed,32,C,MEM,RFA,1300000,1300000
Jeffries,Jared,35,PF,NYK,UFA,1229255,1229255
Pavlovic,Sasha,33,SG,BOS,UFA,1223166,1223166
Price,Ronnie,34,PG,UTH,UFA,1069509,1069509
McGuire,Dominic,31,SF,CHA,UFA,915852,915852
Brown,Derrick,30,PG,NYK,RFA,854389,854389
Przybilla,Joel,37,C,CHA,UFA,655616,655616
Carroll,DeMarre,31,SF,UTH,UFA,537438,537438
Jianlian,Yi,29,PF,WAS,UFA,771,771
