,last name,first name,position,team,year,average salary,name
0,Horford,Al,C,ATL,2012,12000000,alhorford
1,Smith,Josh,SF,ATL,2012,11600000,joshsmith
2,Harris,Devin,PG,ATL,2012,8600000,devinharris
3,Williams,Louis,SG,ATL,2012,5225000,louiswilliams
4,Korver,Kyle,SG,ATL,2012,5000000,kylekorver
5,Pachulia,Zaza,C,ATL,2012,4750000,zazapachulia
6,Petro,Johan,C,ATL,2012,3333333,johanpetro
7,Jones,Dahntay,SF,ATL,2012,2650000,dahntayjones
8,Stevenson,DeShawn,SF,ATL,2012,2240450,deshawnstevenson
9,Teague,Jeff,PG,ATL,2012,1715929,jeffteague
10,Jenkins,John,SG,ATL,2012,1258760,johnjenkins
11,Johnson,Ivan,PF,ATL,2012,962195,ivanjohnson
12,Tolliver,Anthony,PF,ATL,2012,915852,anthonytolliver
13,Scott,Mike,PF,ATL,2012,631238,mikescott
14,Mack,Shelvin,PG,ATL,2012,493707,shelvinmack
15,Pargo,Jannero,PG,ATL,2012,7231,janneropargo
16,Pargo,Jannero,PG,ATL,2012,7231,janneropargo
17,Mack,Shelvin,PG,ATL,2012,4484,shelvinmack
18,Mack,Shelvin,PG,ATL,2012,4484,shelvinmack
19,Pierce,Paul,SF,BOS,2012,15333334,paulpierce
20,Garnett,Kevin,PF,BOS,2012,12000000,kevingarnett
21,Rondo,Rajon,PG,BOS,2012,11000000,rajonrondo
22,Green,Jeff,SF,BOS,2012,8800000,jeffgreen
23,Bass,Brandon,PF,BOS,2012,6450000,brandonbass
24,Lee,Courtney,SG,BOS,2012,5337500,courtneylee
25,Terry,Jason,SG,BOS,2012,5225000,jasonterry
26,Bradley,Avery,SG,BOS,2012,1771218,averybradley
27,Sullinger,Jared,PF,BOS,2012,1591605,jaredsullinger
28,Crawford,Jordan,SG,BOS,2012,1380965,jordancrawford
29,Wilcox,Chris,PF,BOS,2012,1352181,chriswilcox
30,Melo,Fab,C,BOS,2012,1282980,fabmelo
31,Randolph,Shavlik,PF,BOS,2012,635221,shavlikrandolph
32,Williams,Terrence,SG,BOS,2012,598912,terrencewilliams
33,White,D.J.,PF,BOS,2012,591829,djwhite
34,Randolph,Shavlik,PF,BOS,2012,5839,shavlikrandolph
35,Randolph,Shavlik,PF,BOS,2012,5839,shavlikrandolph
36,White,D.J.,PF,BOS,2012,5387,djwhite
37,White,D.J.,PF,BOS,2012,5387,djwhite
38,Williams,Terrence,SG,BOS,2012,5207,terrencewilliams
39,Outlaw,Travis,SF,BKN,2012,4000000,travisoutlaw
40,Rose,Derrick,PG,CHI,2012,18862876,derrickrose
41,Boozer,Carlos,PF,CHI,2012,15000000,carlosboozer
42,Noah,Joakim,C,CHI,2012,12000000,joakimnoah
43,Deng,Luol,SF,CHI,2012,11834238,luoldeng
44,Hamilton,Richard,SG,CHI,2012,5000000,richardhamilton
45,Hinrich,Kirk,SG,CHI,2012,4000000,kirkhinrich
46,Gibson,Taj,PF,CHI,2012,2172737,tajgibson
47,Belinelli,Marco,SF,CHI,2012,1957000,marcobelinelli
48,Mohammed,Nazr,C,CHI,2012,1352181,nazrmohammed
49,Radmanovic,Vladimir,SF,CHI,2012,1352181,vladimirradmanovic
50,Butler,Jimmy,SG,CHI,2012,1302377,jimmybutler
51,Robinson,Nate,PG,CHI,2012,1146337,naterobinson
52,Teague,Marquis,PG,CHI,2012,1017547,marquisteague
53,Cook,Daequan,SG,CHI,2012,595608,daequancook
54,Thomas,Malcolm,PF,CHI,2012,464564,malcolmthomas
55,Amundson,Louis,PF,CHI,2012,6291,louisamundson
56,Thomas,Malcolm,PF,CHI,2012,4484,malcolmthomas
57,Thomas,Malcolm,PF,CHI,2012,4484,malcolmthomas
58,Davis,Baron,PG,CLE,2012,14325000,barondavis
59,Varejao,Anderson,PF,CLE,2012,8050000,andersonvarejao
60,Irving,Kyrie,PG,CLE,2012,5799503,kyrieirving
61,Walton,Luke,SF,CLE,2012,5048561,lukewalton
62,Speights,Marreese,C,CLE,2012,4357500,marreesespeights
63,Thompson,Tristan,C,CLE,2012,4205318,tristanthompson
64,Waiters,Dion,SG,CLE,2012,4205318,dionwaiters
65,Gibson,Daniel,SG,CLE,2012,4200000,danielgibson
66,Gee,Alonzo,SF,CLE,2012,3250000,alonzogee
67,Miles,C.J.,SG,CLE,2012,2225000,cjmiles
68,Zeller,Tyler,C,CLE,2012,1879324,tylerzeller
69,Casspi,Omri,SF,CLE,2012,1510187,omricasspi
70,Ellington,Wayne,SG,CLE,2012,1329951,wayneellington
71,Livingston,Shaun,PG,CLE,2012,1108044,shaunlivingston
72,Quinn,Chris,PG,CLE,2012,638141,chrisquinn
73,Jones,Kevin,PF,CLE,2012,589450,kevinjones
74,Nowitzki,Dirk,PF,DAL,2012,20000000,dirknowitzki
75,Marion,Shawn,SF,DAL,2012,8003842,shawnmarion
76,Kaman,Chris,C,DAL,2012,8000000,chriskaman
77,Haywood,Brendan,C,DAL,2012,7023500,brendanhaywood
78,Mayo,O.J.,SG,DAL,2012,4110450,ojmayo
79,Morrow,Anthony,SG,DAL,2012,4000000,anthonymorrow
80,Carter,Vince,SG,DAL,2012,3090000,vincecarter
81,Brand,Elton,PF,DAL,2012,2100500,eltonbrand
82,Collison,Darren,PG,DAL,2012,1600616,darrencollison
83,Beaubois,Rodrigue,PG,DAL,2012,1423893,rodriguebeaubois
84,Cunningham,Jared,SG,DAL,2012,1182360,jaredcunningham
85,Wright,Brandan,PF,DAL,2012,954266,brandanwright
86,Crowder,Jae,SF,DAL,2012,768202,jaecrowder
87,James,Mike,PG,DAL,2012,636320,mikejames
88,James,Bernard,C,DAL,2012,631238,bernardjames
89,Akognon,Josh,PG,DAL,2012,401401,joshakognon
90,James,Mike,PG,DAL,2012,7954,mikejames
91,James,Mike,PG,DAL,2012,7954,mikejames
92,Dentmon,Justin,PG,DAL,2012,4484,justindentmon
93,Akognon,Josh,PG,DAL,2012,2786,joshakognon
94,Wright,Chris,PG,DAL,2012,2786,chriswright
95,Wright,Chris,PG,DAL,2012,2786,chriswright
96,Iguodala,Andre,SG,DEN,2012,13416667,andreiguodala
97,McGee,JaVale,C,DEN,2012,11000000,javalemcgee
98,Gallinari,Danilo,SF,DEN,2012,10500000,danilogallinari
99,Chandler,Wilson,SF,DEN,2012,6344163,wilsonchandler
100,Miller,Andre,PG,DEN,2012,4875000,andremiller
101,Mozgov,Timofey,C,DEN,2012,3350474,timofeymozgov
102,Brewer,Corey,SG,DEN,2012,3059000,coreybrewer
103,Koufos,Kosta,C,DEN,2012,3000000,kostakoufos
104,Lawson,Ty,PG,DEN,2012,1798552,tylawson
105,Randolph,Anthony,PF,DEN,2012,1750000,anthonyrandolph
106,Fournier,Evan,SG,DEN,2012,1639061,evanfournier
107,Faried,Kenneth,PF,DEN,2012,1545842,kennethfaried
108,Hamilton,Jordan,SF,DEN,2012,1121560,jordanhamilton
109,Miller,Quincy,SF,DEN,2012,725906,quincymiller
110,Stone,Julyan,PG,DEN,2012,617900,julyanstone
111,Maggette,Corey,SF,DET,2012,9624827,coreymaggette
112,Calderon,Jose,PG,DET,2012,9000000,josecalderon
113,Stuckey,Rodney,PG,DET,2012,8500000,rodneystuckey
114,Villanueva,Charlie,PF,DET,2012,7540000,charlievillanueva
115,Maxiell,Jason,PF,DET,2012,5000000,jasonmaxiell
116,Jerebko,Jonas,PF,DET,2012,4500000,jonasjerebko
117,Monroe,Greg,C,DET,2012,3277524,gregmonroe
118,Bynum,Will,PG,DET,2012,3250000,willbynum
119,Knight,Brandon,PG,DET,2012,2897459,brandonknight
120,Drummond,Andre,C,DET,2012,2664793,andredrummond
121,Kravtsov,Vyacheslav,C,DET,2012,1500000,vyacheslavkravtsov
122,Singler,Kyle,SF,DET,2012,1045000,kylesingler
123,Middleton,Khris,SF,DET,2012,725906,khrismiddleton
124,English,Kim,SG,DET,2012,631238,kimenglish
125,Lee,David,PF,GSW,2012,13256280,davidlee
126,Bogut,Andrew,C,GSW,2012,12000000,andrewbogut
127,Jefferson,Richard,SF,GSW,2012,9723000,richardjefferson
128,Biedrins,Andris,C,GSW,2012,9000000,andrisbiedrins
129,Jack,Jarrett,PG,GSW,2012,5000000,jarrettjack
130,Landry,Carl,PF,GSW,2012,4000000,carllandry
131,Rush,Brandon,SG,GSW,2012,4000000,brandonrush
132,Curry,Stephen,PG,GSW,2012,3175066,stephencurry
133,Thompson,Klay,SG,GSW,2012,2435620,klaythompson
134,Barnes,Harrison,SF,GSW,2012,2192970,harrisonbarnes
135,Ezeli,Festus,C,GSW,2012,1302377,festusezeli
136,Green,Draymond,PF,GSW,2012,880248,draymondgreen
137,Bazemore,Kent,SF,GSW,2012,631238,kentbazemore
138,Jones,Dwayne,C,GSW,2012,556391,dwaynejones
139,Machado,Scott,PG,GSW,2012,395829,scottmachado
140,Thomas,Malcolm,PF,GSW,2012,4484,malcolmthomas
141,Machado,Scott,PG,GSW,2012,2786,scottmachado
142,Asik,Omer,C,HOU,2012,8374646,omerasik
