,last name,first name,age,position,team,faStatus,total-contract,average,name
0,Anthony,Carmelo,33,SF,NYK,UFA,124064681,24812936,carmeloanthony
1,Bledsoe,Eric,27,PG,PHX,RFA,70000000,14000000,ericbledsoe
2,Hayward,Gordon,27,SF,UTH,RFA,62965420,15741355,gordonhayward
3,Gortat,Marcin,33,C,WAS,UFA,60000000,12000000,marcingortat
4,Lowry,Kyle,31,PG,TOR,UFA,48000000,12000000,kylelowry
5,Parsons,Chandler,28,SF,HOU,RFA,46084500,15361500,chandlerparsons
6,James,LeBron,32,SF,MIA,UFA,42217798,21108899,lebronjames
7,Ariza,Trevor,32,SF,WAS,UFA,32000002,8000001,trevorariza
8,Bradley,Avery,26,SG,BOS,RFA,32000000,8000000,averybradley
9,Frye,Channing,34,PF,PHX,UFA,32000000,8000000,channingfrye
10,Wade,Dwyane,35,SG,MIA,UFA,31125000,15562500,dwyanewade
11,Diaw,Boris,35,C,SAS,UFA,28000000,7000000,borisdiaw
12,Thomas,Isaiah,28,PG,SAC,RFA,27000002,6750001,isaiahthomas
13,Nowitzki,Dirk,39,PF,DAL,UFA,25000000,8333333,dirknowitzki
14,Hawes,Spencer,29,PF,CLE,UFA,22652350,5663088,spencerhawes
15,Gasol,Pau,37,PF,LAL,UFA,22346280,7448760,paugasol
16,Young,Nick,32,SF,LAL,UFA,21326174,5331544,nickyoung
17,Deng,Luol,32,SF,CLE,UFA,19866073,9933037,luoldeng
18,Meeks,Jodie,30,SG,LAL,UFA,18810000,6270000,jodiemeeks
19,Patterson,Patrick,28,PF,TOR,RFA,18150001,6050000,patrickpatterson
20,Stephenson,Lance,26,SF,IND,UFA,18000000,9000000,lancestephenson
21,Miles,C.J.,30,SG,CLE,UFA,17955350,4488838,cjmiles
22,Livingston,Shaun,32,PG,BKN,UFA,16631175,5543725,shaunlivingston
23,Harris,Devin,34,PG,DAL,UFA,16562884,4140721,devinharris
24,Williams,Marvin,31,PF,UTH,UFA,14000000,7000000,marvinwilliams
25,Humphries,Kris,32,PF,BOS,UFA,13320000,4440000,krishumphries
26,Vasquez,Greivis,30,PG,TOR,RFA,13000000,6500000,greivisvasquez
27,Mills,Patrick,29,PG,SAS,UFA,13000000,4333333,patrickmills
28,Carter,Vince,40,SG,DAL,UFA,12000000,4000000,vincecarter
29,Sefolosha,Thabo,33,SF,OKC,UFA,12000000,4000000,thabosefolosha
30,Pierce,Paul,39,SF,BKN,UFA,10848725,5424363,paulpierce
31,Andersen,Chris,39,PF,MIA,UFA,10375000,5187500,chrisandersen
32,Morrow,Anthony,32,SG,NOP,UFA,10032000,3344000,anthonymorrow
33,Scott,Mike,29,PF,ATL,RFA,10000000,3333333,mikescott
34,Kaman,Chris,35,C,LAL,UFA,9816000,4908000,chriskaman
35,Booker,Trevor,29,PF,WAS,UFA,9775000,4887500,trevorbooker
36,Hill,Jordan,30,C,LAL,UFA,9000000,9000000,jordanhill
37,Butler,Caron,37,SF,OKC,UFA,9000000,4500000,caronbutler
38,Chalmers,Mario,31,PG,MIA,UFA,8300000,4150000,mariochalmers
39,Mack,Shelvin,27,PG,ATL,RFA,7300000,2433333,shelvinmack
40,Turner,Evan,28,SF,IND,UFA,6703510,3351755,evanturner
41,Bayless,Jerryd,29,PG,BOS,UFA,6000000,3000000,jerrydbayless
42,Blair,DeJaun,28,C,DAL,UFA,6000000,2000000,dejaunblair
43,Augustin,D.J.,29,PG,CHI,UFA,6000000,3000000,djaugustin
44,Miller,Mike,37,SG,MEM,UFA,5586940,2793470,mikemiller
45,Nelson,Jameer,35,PG,ORL,UFA,5586940,2793470,jameernelson
46,Roberts,Brian,31,PG,NOP,UFA,5586940,2793470,brianroberts
47,Hinrich,Kirk,36,SG,CHI,UFA,5586940,2793470,kirkhinrich
48,Haslem,Udonis,37,PF,MIA,UFA,5586940,2793470,udonishaslem
49,Monroe,Greg,27,C,DET,RFA,5479933,5479933,gregmonroe
50,Johnson,James,30,PF,MEM,UFA,5000000,2500000,jamesjohnson
51,Sessions,Ramon,31,PG,MIL,UFA,4247465,2123733,ramonsessions
